Date,Closing Price
5/1/2015,27100
6/1/2015,27100
7/1/2015,27000
8/1/2015,27000
9/1/2015,27300
12/1/2015,27000
13/1/2015,27000
14/1/2015,27300
15/1/2015,27500
16/1/2015,27500
19/1/2015,27100
20/1/2015,26900
21/1/2015,26900
22/1/2015,27100
23/1/2015,27500
26/1/2015,27300
27/1/2015,26900
28/1/2015,26800
29/1/2015,26900
30/1/2015,26300
2/2/2015,25800
3/2/2015,25500
4/2/2015,25400
5/2/2015,25500
6/2/2015,25900
9/2/2015,25600
10/2/2015,25700
11/2/2015,26600
12/2/2015,27000
13/2/2015,27100
24/2/2015,27500
25/2/2015,27100
26/2/2015,27200
27/2/2015,27300
2/3/2015,27300
3/3/2015,27400
4/3/2015,27700
5/3/2015,27300
6/3/2015,23200
9/3/2015,22700
10/3/2015,22700
11/3/2015,22400
12/3/2015,22400
13/3/2015,22300
16/3/2015,22000
17/3/2015,22200
18/3/2015,21900
19/3/2015,21600
20/3/2015,22200
23/3/2015,21600
24/3/2015,21300
25/3/2015,21000
26/3/2015,20700
27/3/2015,20400
30/3/2015,20000
31/3/2015,20200
1/4/2015,19700
2/4/2015,20100
3/4/2015,20200
6/4/2015,20000
7/4/2015,20300
8/4/2015,20100
9/4/2015,20200
10/4/2015,20600
13/4/2015,20600
14/4/2015,20300
15/4/2015,20500
16/4/2015,21200
17/4/2015,21400
20/4/2015,21000
21/4/2015,20800
22/4/2015,20700
23/4/2015,20900
24/4/2015,20800
27/4/2015,20600
4/5/2015,20000
5/5/2015,20500
6/5/2015,20200
7/5/2015,20100
8/5/2015,20300
11/5/2015,20100
12/5/2015,20000
13/5/2015,20000
14/5/2015,20000
15/5/2015,19500
18/5/2015,19100
19/5/2015,19200
20/5/2015,20500
21/5/2015,21200
22/5/2015,21400
25/5/2015,21800
26/5/2015,21500
27/5/2015,21500
28/5/2015,21800
29/5/2015,21400
1/6/2015,21600
2/6/2015,21900
3/6/2015,22700
4/6/2015,22600
5/6/2015,23200
8/6/2015,23100
9/6/2015,23200
10/6/2015,23200
11/6/2015,23700
12/6/2015,24400
15/6/2015,24100
16/6/2015,23500
17/6/2015,23300
18/6/2015,23800
19/6/2015,23500
22/6/2015,23900
23/6/2015,23600
24/6/2015,23700
25/6/2015,23800
26/6/2015,24400
29/6/2015,24800
30/6/2015,24300
1/7/2015,24800
2/7/2015,25100
3/7/2015,26000
6/7/2015,26500
7/7/2015,26400
8/7/2015,25700
9/7/2015,26200
10/7/2015,26000
13/7/2015,26200
14/7/2015,26800
15/7/2015,26200
16/7/2015,26300
17/7/2015,26000
20/7/2015,26200
21/7/2015,26100
22/7/2015,26900
23/7/2015,27200
24/7/2015,27200
27/7/2015,28300
28/7/2015,28000
29/7/2015,27500
30/7/2015,27400
31/7/2015,27200
3/8/2015,26200
4/8/2015,26500
5/8/2015,27000
6/8/2015,26800
7/8/2015,26800
10/8/2015,27600
11/8/2015,27400
12/8/2015,26900
13/8/2015,26800
14/8/2015,24900
17/8/2015,24200
18/8/2015,24400
19/8/2015,25200
20/8/2015,24900
21/8/2015,24900
24/8/2015,23200
25/8/2015,23200
26/8/2015,23900
27/8/2015,24100
28/8/2015,25700
31/8/2015,25900
1/9/2015,25800
3/9/2015,24600
4/9/2015,24500
7/9/2015,24700
8/9/2015,25200
9/9/2015,25000
10/9/2015,25400
11/9/2015,24900
14/9/2015,24300
15/9/2015,24700
